"Sector","Tax category","1975 Current prices, millions of euro","1976 Current prices, millions of euro","1977 Current prices, millions of euro","1978 Current prices, millions of euro","1979 Current prices, millions of euro","1980 Current prices, millions of euro","1981 Current prices, millions of euro","1982 Current prices, millions of euro","1983 Current prices, millions of euro","1984 Current prices, millions of euro","1985 Current prices, millions of euro","1986 Current prices, millions of euro","1987 Current prices, millions of euro","1988 Current prices, millions of euro","1989 Current prices, millions of euro","1990 Current prices, millions of euro","1991 Current prices, millions of euro","1992 Current prices, millions of euro","1993 Current prices, millions of euro","1994 Current prices, millions of euro","1995 Current prices, millions of euro","1996 Current prices, millions of euro","1997 Current prices, millions of euro","1998 Current prices, millions of euro","1999 Current prices, millions of euro","2000 Current prices, millions of euro","2001 Current prices, millions of euro","2002 Current prices, millions of euro","2003 Current prices, millions of euro","2004 Current prices, millions of euro","2005 Current prices, millions of euro","2006 Current prices, millions of euro","2007 Current prices, millions of euro","2008 Current prices, millions of euro","2009 Current prices, millions of euro","2010 Current prices, millions of euro","2011 Current prices, millions of euro","2012 Current prices, millions of euro","2013 Current prices, millions of euro","2014 Current prices, millions of euro","2015 Current prices, millions of euro","2016 Current prices, millions of euro","2017 Current prices, millions of euro","2018 Current prices, millions of euro"
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512601 Tax on waste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,31,34,33,31,32,41,42,53,55,56,52,45,42,64,56,56,44,32,21,12,7
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512602 Tax on fire insurance",0,0,0,0,3,3,3,4,4,5,5,5,5,6,6,7,7,7,7,7,7,6,6,6,6,6,6,7,7,7,8,8,8,8,9,9,9,10,10,11,11,11,11,11
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512603 Nuclear energy research levy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,5,7,7,7,5,8,7,11,12,12
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512604 Bank tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,138,-74,-43,-36,-4
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512605 Rail tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,15,18,18,21,17,18,18,16,19,18,6,6,5,2
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512606 EU Contributions to the Single Resolution Fund",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,112,122,55
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512607 Central government's share of Oy Veikkaus Ab's profit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,1109
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512608 Tax on motion pictures",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512609 Central governments share of Oy Veikkaus Ab's and money-lotteries' profit",31,37,41,52,59,67,74,85,106,132,140,137,163,166,192,193,222,241,243,251,275,290,323,348,366,379,377,356,370,376,385,397,398,408,461,493,516,520,535,541,541,539,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512610 Revenue from RAY (The Finnish Slot Machine Association)",10,11,13,14,18,22,27,29,35,45,43,51,63,87,113,127,155,181,181,186,223,265,282,292,322,325,346,377,401,406,415,397,409,421,407,381,367,381,413,422,426,427,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512611 Stamp duty on entertainment",4,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512612 Central governments share of the revenue on betting in horse races",2,2,3,3,4,5,7,3,4,4,5,6,7,8,9,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","5127 Other taxes on international trade and transactions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512701 Tax on charter flights",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","5128 Other taxes on specific goods and services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,10,8,8,9,7,5,3,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512801 Sugar levy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,8,8,8,9,7,5,3,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","512802 ECSC fee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","5200 Taxes on use of goods, or on permission to use goods or perform activities",19,40,31,38,39,44,56,60,74,90,96,106,118,105,137,156,162,155,166,268,310,364,386,411,432,440,480,500,527,696,590,627,667,701,714,758,826,824,929,1042,1052,1233,1298,1361
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","5210 Recurrent taxes",19,40,31,38,39,44,56,60,74,90,96,106,118,105,137,156,162,155,166,268,310,364,374,397,417,423,460,476,498,667,561,593,633,665,681,718,785,784,892,902,953,1107,1192,1221
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","521001 User charge on passenger vehicles",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,176,187,190,201,209,220,227,233,243,642,537,568,612,637,655,691,759,758,866,877,930,1083,1169,1194
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","521002 Tax on motor vehicles",15,17,25,31,31,35,46,50,62,76,83,93,105,90,121,140,145,137,148,142,112,156,164,175,186,180,209,218,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","5213 Other recurrent taxes",4,4,6,7,8,9,10,10,12,14,13,13,13,15,16,16,17,18,18,22,22,21,20,21,22,23,24,25,25,25,24,25,21,28,26,27,26,26,26,25,23,24,23,27
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","521301 Hunting and fishing licenses (elk)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,2,1,2,3,4,5,6,6,5,5,6,2,6,5,6,6,5,4,4,4,4,4,5
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","521302 Hunting and fishing licenses (fishing fee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,7,7,7,5,5,5,5,5,5,5,6,5,5,6,6,6,6,6,6,6,6,8,9,8,9
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","521303 Hunting and fishing licenses (game management fee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,9,9,9,9,9,10,10,10,10,10,12
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","521304 Hunting and fishing licenses (Tana river)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","521305 Seamens welfare and rescue levy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","521306 Hunting and fishing licenses (ice fishing)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","521307 Hunting and fishing licenses (island municipalities)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","521308 Hunting and fishing licenses (hunting and fishing licenses)",2,2,4,5,6,7,7,7,9,11,10,10,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","521309 Tax on dogs",2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,5,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,2,2,1,2,2,1,1,1,1,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","5220 Non-recurrent taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,15,17,20,24,29,29,29,34,34,36,33,40,41,40,37,140,99,126,106,140
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","522001 Registration fee of vehicles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,15,17,20,24,29,29,29,34,34,36,33,40,41,40,37,36,36,36,31,27
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","522002 Income from auction of emission allowances",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,63,90,75,113
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","6000 Other taxes",10,15,20,23,31,20,32,33,35,40,43,42,42,48,48,50,51,70,68,87,255,247,210,197,168,160,178,166,158,182,216,233,268,278,221,220,263,259,230,246,247,262,235,218
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","600001 Penalties for late payments of product taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,4,2,2,4,3,2,-1,1,5,3,1,3,1,2,4,2,3,3,2,2,2,3,5,1,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","600002 Repayments (all)",0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,-2,-3,-6,-4,-3,-2,-4,-2,-1,-1,-7,-2,-1,-3,-9,-11,-3,-1,0,-1,0,-1,0,0,0,0,-2,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","600003 Other tax income",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,1,13,28,0,-3,-9,-9,-2,0,2,7,5,3,4,3,3,3,2,4,3,3,3,3,4,2
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","600004 Penalties for late payments of other production taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","600005 Repayments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","600006 Penalties for late payments of direct taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","600007 Penalties for late payments of taxes",10,15,20,23,30,20,32,33,34,39,42,41,43,49,48,48,55,69,68,84,79,66,50,51,47,40,58,59,59,55,59,51,57,63,60,60,64,65,53,67,73,87,52,38
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","600008 Plant-breeding levy",0,0,0,0,1,0,0,0,1,1,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","600009 Extra duty on certain textiles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S13, S212 Julkisyhteisöt ja Euroopan Unionin toimielimet","600010 Custom duties, levies on agricultural goods",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,153,155,145,134,130,120,101,101,126,148,175,199,205,152,151,190,184,166,170,166,163,174,174
"S1311 Central government","Total",3692,4711,5021,5195,5591,6538,7801,8599,9659,11345,12707,14207,14514,18156,20002,20658,19844,18245,17548,19205,20427,22386,25075,27359,28413,33074,31659,33361,33473,34629,35890,37035,39407,39807,34319,34997,39635,40480,42179,42686,43272,45273,46921,48684
"S1311 Central government","1000 Taxes on income, profits and capital gains",1304,1840,1744,1553,1596,2075,2652,2842,3232,3721,4255,5059,4487,5952,6539,7021,6722,5631,5074,5876,6538,7859,8707,9966,10159,14020,12284,12933,12009,12469,12885,13171,14761,14507,9906,9758,11386,11132,11453,11834,12127,12670,13413,13855
"S1311 Central government","1100 Taxes on income, profits and capital gains of individuals",1146,1611,1552,1358,1379,1857,2338,2501,2845,3351,3875,4645,4153,5483,5930,5959,5753,4939,4953,5610,5320,6325,6635,7039,6966,9128,8498,8315,8054,8196,8791,8803,9340,9471,7596,6670,7880,8127,8110,9290,9248,9402,9175,9778
"S1311 Central government","110001 Duty on interests",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,180,280,232,207,215,168,115,94,92,218,268,216,170,164,175,254,432,493,205,198,237,207,142,110,90,66,44
"S1311 Central government","110002 Income tax of households",1127,1588,1529,1333,1350,1828,2302,2465,2808,3297,3833,4623,4127,5450,5897,5917,5665,4722,4673,5378,5113,6110,6467,6924,6872,9036,8280,8047,7838,8026,8627,8628,9086,9039,7103,6465,7682,7890,7903,9148,9138,9312,9109,9734
"S1311 Central government","110003 Seamen's tax",15,19,19,19,22,22,26,24,24,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","110004 Tax on winnings from lottery or gambling",4,4,4,6,7,7,10,12,13,22,20,22,26,33,33,42,42,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","1200 Corporate taxes on income, profits and capital gains",158,229,192,195,217,218,314,341,387,370,380,414,334,469,609,1062,969,692,121,266,1218,1534,2072,2927,3193,4892,3786,4618,3955,4273,4094,4368,5421,5036,2310,3088,3506,3005,3343,2544,2879,3268,4238,4077
"S1311 Central government","120001 Income tax of corporations",149,219,178,182,202,202,293,318,360,341,347,379,294,420,555,1001,918,656,113,250,1144,1440,1947,2770,3077,4758,3690,4516,3869,4176,3993,4260,5298,4922,2222,2972,3375,2906,3227,2433,2761,3268,4238,4077
"S1311 Central government","120002 Church tax of corporations",9,10,14,13,15,16,21,23,27,27,33,35,40,49,54,61,51,36,8,16,74,94,125,157,116,134,96,102,86,97,101,108,123,114,88,116,131,99,116,111,118,0,0,0
"S1311 Central government","120003 Payment to equalize business fluctuations",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","2000 Social security contributions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,25,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","2100 Social security contributions of employees and self-employed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","210001 Employees employment pension contribution",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","210002 Employees social security contributions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","2200 Employers social security contributions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,25,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","220001 Employers employment pension contributions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","220002 Employers social security contributions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,25,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","3000 Taxes on payroll and workforce",153,208,215,210,84,22,10,0,0,47,113,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","300001 Taxes on payroll and workforce",153,208,215,210,84,22,10,0,0,47,113,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","4000 Taxes on property",126,242,195,196,209,220,259,309,374,478,573,655,695,992,1084,880,789,726,626,573,533,617,720,830,815,948,845,907,847,1018,1169,1054,1157,1134,929,918,939,1091,1236,1207,1414,1396,1685,1536
"S1311 Central government","4100 Recurrent taxes on immovable property",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","410001 Tax on real-estate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","4200 Recurrent taxes on net wealth",32,124,54,43,40,24,28,33,40,44,48,24,24,33,25,27,21,26,40,47,35,47,52,58,86,179,127,113,99,117,129,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","4210 Recurrent taxes on net wealth of individuals",32,70,53,40,37,23,25,30,37,40,43,22,21,29,24,25,19,24,38,44,34,46,50,57,85,175,124,109,97,113,125,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","421001 Wealth tax, individual",32,70,53,40,37,23,25,30,37,40,43,22,21,29,24,25,19,24,38,44,34,46,50,57,85,175,124,109,97,113,125,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","4220 Recurrent taxes on net wealth of corporations",0,54,1,3,3,1,3,3,3,4,5,2,3,4,1,2,2,2,2,3,1,1,2,1,1,4,3,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","422001 Wealth tax, corporation",0,54,1,3,3,1,3,3,3,4,5,2,3,4,1,2,2,2,2,3,1,1,2,1,1,4,3,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","4300 Inheritance and gift tax",14,17,22,23,22,26,28,35,45,52,62,70,87,109,116,146,167,171,155,170,167,219,245,284,321,368,385,452,411,472,486,505,459,651,440,387,395,509,646,499,631,522,909,692
"S1311 Central government","430001 Inheritance and gift tax",14,17,22,23,22,26,28,35,45,52,62,70,87,109,116,146,167,171,155,170,167,219,245,284,321,368,385,452,411,472,486,505,459,651,440,387,395,509,646,499,631,522,909,692
"S1311 Central government","4400 Taxes on financial and capital transactions",80,101,119,130,147,170,203,241,289,382,463,561,584,850,943,707,601,529,431,356,331,351,423,488,408,401,333,342,337,429,554,549,698,483,489,531,544,582,590,708,783,874,776,844
"S1311 Central government","440001 Transfer tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,463,411,421,331,340,337,429,554,549,698,483,489,531,544,582,590,708,783,874,776,844
"S1311 Central government","440002 Stamp duties",80,101,119,130,147,170,203,241,289,382,463,561,584,850,943,688,579,508,398,356,331,351,126,25,-3,-20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","440003 Credit tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,21,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","5000 Taxes on goods and services",2099,2406,2847,3213,3671,4201,4848,5415,6018,7059,7723,8450,9290,11164,12319,12707,12282,11818,11766,12642,13241,13797,15578,16511,17405,18076,18472,19456,20560,21086,21768,22752,23420,24093,23415,24252,27237,28182,29426,29569,29650,31108,31762,33249
"S1311 Central government","5100 Taxes on production, sale, transfer, leasing and delivery of goods and rendering of services",2082,2368,2818,3177,3634,4159,4795,5358,5947,6972,7630,8347,9175,11063,12186,12555,12124,11668,11605,12380,12937,13438,15197,16105,16978,17641,17996,18960,20037,20394,21182,22129,22756,23395,22703,23496,26412,27360,28499,28528,28599,29876,30465,31888
"S1311 Central government","5111 Value added taxes",1030,1121,1393,1606,1791,2062,2425,2670,2994,3722,4173,4646,5528,6507,7361,7519,7171,6579,6503,7008,7621,7996,9143,9700,10137,10869,11118,11731,12487,13010,13748,14537,15207,15658,15176,15533,17315,17987,18888,18948,18974,19694,20404,21364
"S1311 Central government","511101 Value added taxes",1030,1121,1393,1606,1791,2062,2425,2670,2994,3722,4173,4646,5528,6507,7361,7519,7171,6579,6503,7008,7621,7996,9143,9700,10137,10869,11118,11731,12487,13010,13748,14537,15207,15658,15176,15533,17315,17987,18888,18948,18974,19694,20404,21364
"S1311 Central government","5113 Turnover and other general taxes on goods and services",71,75,91,109,127,158,174,190,226,263,278,304,315,366,408,442,416,360,368,385,413,328,341,366,387,416,446,483,516,556,590,617,644,674,696,728,798,870,929,968,999,1016,996,998
"S1311 Central government","511301 Tax on lottery prizes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,52,56,62,66,73,75,79,91,109,120,128,126,130,135,138,139,144,172,210,217,218,222,231,228,226
"S1311 Central government","511302 Tax on insurance premiums",26,30,43,49,48,58,69,79,96,119,137,151,177,204,228,263,290,282,275,261,261,266,275,293,312,337,355,374,396,428,464,487,509,536,557,584,626,660,712,750,777,785,768,772
"S1311 Central government","511303 Equalization tax",45,45,48,60,79,100,105,111,130,144,141,153,138,162,180,179,126,78,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","511304 Telecommunication tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","5120 Taxes on specific goods and services",981,1172,1334,1462,1716,1939,2196,2498,2727,2987,3179,3397,3332,4190,4417,4594,4537,4729,4734,4987,4903,5114,5713,6039,6454,6356,6432,6746,7034,6828,6844,6975,6905,7063,6831,7235,8299,8503,8682,8612,8626,9166,9065,9526
"S1311 Central government","5121 Excises",759,945,1103,1209,1430,1616,1835,2095,2301,2536,2737,2927,2783,3477,3604,3813,3691,3808,3888,4170,4353,4535,5080,5362,5726,5613,5672,5974,6202,5977,5964,6096,6012,6149,5887,6285,7318,7513,7510,7430,7677,8194,8001,8389
"S1311 Central government","512101 Excise duty on alcoholic beverages",206,231,236,261,315,353,392,451,497,533,540,604,651,753,773,813,768,704,653,930,1196,1183,1210,1211,1258,1239,1295,1348,1363,1030,967,994,1016,1114,1223,1279,1291,1374,1355,1381,1356,1344,1340,1475
"S1311 Central government","512102 Excise duty on energy products",205,271,329,400,431,506,540,620,621,682,750,729,538,765,770,986,1097,1223,1406,1731,2010,2071,2435,2507,2660,2583,2674,2801,2832,2904,2874,2932,2907,3162,3052,3167,3875,3956,3925,3846,4054,4407,4324,4395
"S1311 Central government","512103 Excise duty on motor cars",128,151,161,163,227,238,279,338,407,450,482,581,643,836,916,697,400,334,271,345,452,607,708,885,1029,1059,922,1023,1207,1235,1277,1304,1217,1016,687,941,1068,1006,931,916,882,959,972,995
"S1311 Central government","512104 Excise duties on soft drinks (incl tax on sweets and ice cream 2011-2016)",10,11,14,15,17,17,21,26,14,9,13,15,16,20,21,22,21,21,19,23,28,28,30,30,33,32,33,35,37,39,35,35,35,35,35,37,134,197,204,257,250,255,151,154
"S1311 Central government","512105 Excise duty on tobacco",109,144,151,162,178,206,221,265,284,293,306,326,357,478,448,473,492,550,532,514,532,506,540,564,580,561,599,604,593,598,613,619,622,627,693,655,718,749,852,788,885,983,962,1115
"S1311 Central government","512106 Excise on certain beverage packages",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,41,15,12,13,15,15,15,14,15,15,16,15
"S1311 Central government","512107 Oil damage levy",0,0,0,0,0,0,0,0,0,2,3,5,5,5,5,7,7,6,6,5,6,5,6,6,6,5,5,6,9,10,8,8,8,8,8,20,24,24,27,25,24,10,8,12
"S1311 Central government","512108 Oil waste levy",0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4
"S1311 Central government","512109 Pharmacy levy",9,11,13,13,14,16,18,17,19,23,26,28,30,35,40,46,49,58,58,58,60,66,72,76,79,85,93,103,108,110,116,120,112,119,128,121,143,144,152,157,164,173,181,179
"S1311 Central government","512110 Stock-building levies on liquid fuels",21,32,20,4,4,15,27,42,39,39,41,43,44,43,44,44,42,41,40,42,40,40,48,50,49,46,48,50,50,48,49,50,50,49,45,48,46,44,45,43,43,44,43,45
"S1311 Central government","512111 Excise duty on certain food products",33,50,67,110,203,218,262,347,40,16,20,24,27,29,34,36,40,38,35,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512112 Marketing levy on agricultural products (plants)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512113 Excise duty on fertilizers (phosphorus)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
