"Sector","Function","Transaction","Data","2015"
"S13 General government","G0401  General economic, commercial and labour affairs","TOTEXPS Total expenditure, consolidated","Current prices",1304
"S13 General government","G0401  General economic, commercial and labour affairs","TOTEXPS Total expenditure, consolidated","Ratio to GDP, %",0.6
"S13 General government","G0401  General economic, commercial and labour affairs","TOTEXPS Total expenditure, consolidated","Per capita, EUR",238
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D1K Compensation of employees","Current prices",64
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D1K Compensation of employees","Ratio to GDP, %",0.0
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D1K Compensation of employees","Per capita, EUR",12
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D11K Wages and salaries","Current prices",50
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D11K Wages and salaries","Ratio to GDP, %",0.0
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D11K Wages and salaries","Per capita, EUR",9
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D12K Employers' social contributions","Current prices",14
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D12K Employers' social contributions","Ratio to GDP, %",0.0
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D12K Employers' social contributions","Per capita, EUR",3
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","P2K Intermediate consumption","Current prices",97
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","P2K Intermediate consumption","Ratio to GDP, %",0.0
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","P2K Intermediate consumption","Per capita, EUR",18
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D29K Other taxes on production","Current prices",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D29K Other taxes on production","Ratio to GDP, %",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D29K Other taxes on production","Per capita, EUR",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D3K Subsidies","Current prices",1251
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D3K Subsidies","Ratio to GDP, %",0.6
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D3K Subsidies","Per capita, EUR",228
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D4K Property expenditure","Current prices",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D4K Property expenditure","Ratio to GDP, %",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D4K Property expenditure","Per capita, EUR",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D4SK  Property expenditure, consolidated","Current prices",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D4SK  Property expenditure, consolidated","Ratio to GDP, %",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D4SK  Property expenditure, consolidated","Per capita, EUR",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D5K Current taxes on income and wealth, etc., payable","Current prices",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D5K Current taxes on income and wealth, etc., payable","Ratio to GDP, %",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D5K Current taxes on income and wealth, etc., payable","Per capita, EUR",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D62K Social benefits other than social transfers in kind, payable","Current prices",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D62K Social benefits other than social transfers in kind, payable","Ratio to GDP, %",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D62K Social benefits other than social transfers in kind, payable","Per capita, EUR",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D632K Social transfers in kind - purchased market production","Current prices",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D632K Social transfers in kind - purchased market production","Ratio to GDP, %",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D632K Social transfers in kind - purchased market production","Per capita, EUR",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D7K Other current transfers, payable","Current prices",95
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D7K Other current transfers, payable","Ratio to GDP, %",0.0
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D7K Other current transfers, payable","Per capita, EUR",17
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D7SK Other current transfers, payable (consolidated)","Current prices",71
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D7SK Other current transfers, payable (consolidated)","Ratio to GDP, %",0.0
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D7SK Other current transfers, payable (consolidated)","Per capita, EUR",13
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D9K Capital transfers, payable","Current prices",115
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D9K Capital transfers, payable","Ratio to GDP, %",0.1
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D9K Capital transfers, payable","Per capita, EUR",21
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D9SK Capital transfers, payable (consolidated)","Current prices",113
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D9SK Capital transfers, payable (consolidated)","Ratio to GDP, %",0.1
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","D9SK Capital transfers, payable (consolidated)","Per capita, EUR",21
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","P5K Gross capital formation","Current prices",8
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","P5K Gross capital formation","Ratio to GDP, %",0.0
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","P5K Gross capital formation","Per capita, EUR",2
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","P51K Gross fixed capital formation","Current prices",5
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","P51K Gross fixed capital formation","Ratio to GDP, %",0.0
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","P51K Gross fixed capital formation","Per capita, EUR",1
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","NPK Acquisitions less disposals of non-produced assets","Current prices",1
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","NPK Acquisitions less disposals of non-produced assets","Ratio to GDP, %",0.0
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","NPK Acquisitions less disposals of non-produced assets","Per capita, EUR",0
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","P3K Final consumption expenditure","Current prices",104
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","P3K Final consumption expenditure","Ratio to GDP, %",0.0
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","P3K Final consumption expenditure","Per capita, EUR",19
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","NETEXP Net expenditure","Current prices",1499
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","NETEXP Net expenditure","Ratio to GDP, %",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","NETEXP Net expenditure","Per capita, EUR",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","NETEXPS Net expenditure, consolidated","Current prices",1473
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","NETEXPS Net expenditure, consolidated","Ratio to GDP, %",0.7
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","NETEXPS Net expenditure, consolidated","Per capita, EUR",269
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","TOTEXP Total expenditure","Current prices",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","TOTEXP Total expenditure","Ratio to GDP, %",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","TOTEXP Total expenditure","Per capita, EUR",.
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","TOTEXPS Total expenditure, consolidated","Current prices",1605
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","TOTEXPS Total expenditure, consolidated","Ratio to GDP, %",0.8
"S13 General government","G0402  Agriculture, forestry, fishing and hunting","TOTEXPS Total expenditure, consolidated","Per capita, EUR",293
"S13 General government","G0403  Fuel and energy","D1K Compensation of employees","Current prices",5
"S13 General government","G0403  Fuel and energy","D1K Compensation of employees","Ratio to GDP, %",0.0
"S13 General government","G0403  Fuel and energy","D1K Compensation of employees","Per capita, EUR",1
"S13 General government","G0403  Fuel and energy","D11K Wages and salaries","Current prices",4
"S13 General government","G0403  Fuel and energy","D11K Wages and salaries","Ratio to GDP, %",0.0
"S13 General government","G0403  Fuel and energy","D11K Wages and salaries","Per capita, EUR",1
"S13 General government","G0403  Fuel and energy","D12K Employers' social contributions","Current prices",1
"S13 General government","G0403  Fuel and energy","D12K Employers' social contributions","Ratio to GDP, %",0.0
"S13 General government","G0403  Fuel and energy","D12K Employers' social contributions","Per capita, EUR",0
"S13 General government","G0403  Fuel and energy","P2K Intermediate consumption","Current prices",6
"S13 General government","G0403  Fuel and energy","P2K Intermediate consumption","Ratio to GDP, %",0.0
"S13 General government","G0403  Fuel and energy","P2K Intermediate consumption","Per capita, EUR",1
"S13 General government","G0403  Fuel and energy","D29K Other taxes on production","Current prices",.
"S13 General government","G0403  Fuel and energy","D29K Other taxes on production","Ratio to GDP, %",.
"S13 General government","G0403  Fuel and energy","D29K Other taxes on production","Per capita, EUR",.
"S13 General government","G0403  Fuel and energy","D3K Subsidies","Current prices",144
"S13 General government","G0403  Fuel and energy","D3K Subsidies","Ratio to GDP, %",0.1
"S13 General government","G0403  Fuel and energy","D3K Subsidies","Per capita, EUR",26
"S13 General government","G0403  Fuel and energy","D4K Property expenditure","Current prices",.
"S13 General government","G0403  Fuel and energy","D4K Property expenditure","Ratio to GDP, %",.
"S13 General government","G0403  Fuel and energy","D4K Property expenditure","Per capita, EUR",.
"S13 General government","G0403  Fuel and energy","D4SK  Property expenditure, consolidated","Current prices",.
"S13 General government","G0403  Fuel and energy","D4SK  Property expenditure, consolidated","Ratio to GDP, %",.
"S13 General government","G0403  Fuel and energy","D4SK  Property expenditure, consolidated","Per capita, EUR",.
"S13 General government","G0403  Fuel and energy","D5K Current taxes on income and wealth, etc., payable","Current prices",.
"S13 General government","G0403  Fuel and energy","D5K Current taxes on income and wealth, etc., payable","Ratio to GDP, %",.
"S13 General government","G0403  Fuel and energy","D5K Current taxes on income and wealth, etc., payable","Per capita, EUR",.
"S13 General government","G0403  Fuel and energy","D62K Social benefits other than social transfers in kind, payable","Current prices",.
"S13 General government","G0403  Fuel and energy","D62K Social benefits other than social transfers in kind, payable","Ratio to GDP, %",.
"S13 General government","G0403  Fuel and energy","D62K Social benefits other than social transfers in kind, payable","Per capita, EUR",.
"S13 General government","G0403  Fuel and energy","D632K Social transfers in kind - purchased market production","Current prices",.
"S13 General government","G0403  Fuel and energy","D632K Social transfers in kind - purchased market production","Ratio to GDP, %",.
"S13 General government","G0403  Fuel and energy","D632K Social transfers in kind - purchased market production","Per capita, EUR",.
"S13 General government","G0403  Fuel and energy","D7K Other current transfers, payable","Current prices",.
"S13 General government","G0403  Fuel and energy","D7K Other current transfers, payable","Ratio to GDP, %",.
"S13 General government","G0403  Fuel and energy","D7K Other current transfers, payable","Per capita, EUR",.
"S13 General government","G0403  Fuel and energy","D7SK Other current transfers, payable (consolidated)","Current prices",.
"S13 General government","G0403  Fuel and energy","D7SK Other current transfers, payable (consolidated)","Ratio to GDP, %",.
"S13 General government","G0403  Fuel and energy","D7SK Other current transfers, payable (consolidated)","Per capita, EUR",.
"S13 General government","G0403  Fuel and energy","D9K Capital transfers, payable","Current prices",154
"S13 General government","G0403  Fuel and energy","D9K Capital transfers, payable","Ratio to GDP, %",0.1
"S13 General government","G0403  Fuel and energy","D9K Capital transfers, payable","Per capita, EUR",28
"S13 General government","G0403  Fuel and energy","D9SK Capital transfers, payable (consolidated)","Current prices",149
"S13 General government","G0403  Fuel and energy","D9SK Capital transfers, payable (consolidated)","Ratio to GDP, %",0.1
"S13 General government","G0403  Fuel and energy","D9SK Capital transfers, payable (consolidated)","Per capita, EUR",27
"S13 General government","G0403  Fuel and energy","P5K Gross capital formation","Current prices",.
"S13 General government","G0403  Fuel and energy","P5K Gross capital formation","Ratio to GDP, %",.
"S13 General government","G0403  Fuel and energy","P5K Gross capital formation","Per capita, EUR",.
"S13 General government","G0403  Fuel and energy","P51K Gross fixed capital formation","Current prices",.
"S13 General government","G0403  Fuel and energy","P51K Gross fixed capital formation","Ratio to GDP, %",.
"S13 General government","G0403  Fuel and energy","P51K Gross fixed capital formation","Per capita, EUR",.
"S13 General government","G0403  Fuel and energy","NPK Acquisitions less disposals of non-produced assets","Current prices",.
"S13 General government","G0403  Fuel and energy","NPK Acquisitions less disposals of non-produced assets","Ratio to GDP, %",.
"S13 General government","G0403  Fuel and energy","NPK Acquisitions less disposals of non-produced assets","Per capita, EUR",.
"S13 General government","G0403  Fuel and energy","P3K Final consumption expenditure","Current prices",10
"S13 General government","G0403  Fuel and energy","P3K Final consumption expenditure","Ratio to GDP, %",0.0
"S13 General government","G0403  Fuel and energy","P3K Final consumption expenditure","Per capita, EUR",2
"S13 General government","G0403  Fuel and energy","NETEXP Net expenditure","Current prices",307
"S13 General government","G0403  Fuel and energy","NETEXP Net expenditure","Ratio to GDP, %",.
"S13 General government","G0403  Fuel and energy","NETEXP Net expenditure","Per capita, EUR",.
"S13 General government","G0403  Fuel and energy","NETEXPS Net expenditure, consolidated","Current prices",302
"S13 General government","G0403  Fuel and energy","NETEXPS Net expenditure, consolidated","Ratio to GDP, %",0.1
"S13 General government","G0403  Fuel and energy","NETEXPS Net expenditure, consolidated","Per capita, EUR",55
"S13 General government","G0403  Fuel and energy","TOTEXP Total expenditure","Current prices",.
"S13 General government","G0403  Fuel and energy","TOTEXP Total expenditure","Ratio to GDP, %",.
"S13 General government","G0403  Fuel and energy","TOTEXP Total expenditure","Per capita, EUR",.
"S13 General government","G0403  Fuel and energy","TOTEXPS Total expenditure, consolidated","Current prices",304
"S13 General government","G0403  Fuel and energy","TOTEXPS Total expenditure, consolidated","Ratio to GDP, %",0.1
"S13 General government","G0403  Fuel and energy","TOTEXPS Total expenditure, consolidated","Per capita, EUR",56
"S13 General government","G0404  Mining, manufacturing, construction","D1K Compensation of employees","Current prices",63
"S13 General government","G0404  Mining, manufacturing, construction","D1K Compensation of employees","Ratio to GDP, %",0.0
"S13 General government","G0404  Mining, manufacturing, construction","D1K Compensation of employees","Per capita, EUR",12
"S13 General government","G0404  Mining, manufacturing, construction","D11K Wages and salaries","Current prices",48
"S13 General government","G0404  Mining, manufacturing, construction","D11K Wages and salaries","Ratio to GDP, %",0.0
"S13 General government","G0404  Mining, manufacturing, construction","D11K Wages and salaries","Per capita, EUR",9
"S13 General government","G0404  Mining, manufacturing, construction","D12K Employers' social contributions","Current prices",15
"S13 General government","G0404  Mining, manufacturing, construction","D12K Employers' social contributions","Ratio to GDP, %",0.0
"S13 General government","G0404  Mining, manufacturing, construction","D12K Employers' social contributions","Per capita, EUR",3
"S13 General government","G0404  Mining, manufacturing, construction","P2K Intermediate consumption","Current prices",18
"S13 General government","G0404  Mining, manufacturing, construction","P2K Intermediate consumption","Ratio to GDP, %",0.0
"S13 General government","G0404  Mining, manufacturing, construction","P2K Intermediate consumption","Per capita, EUR",3
"S13 General government","G0404  Mining, manufacturing, construction","D29K Other taxes on production","Current prices",.
"S13 General government","G0404  Mining, manufacturing, construction","D29K Other taxes on production","Ratio to GDP, %",.
"S13 General government","G0404  Mining, manufacturing, construction","D29K Other taxes on production","Per capita, EUR",.
"S13 General government","G0404  Mining, manufacturing, construction","D3K Subsidies","Current prices",152
"S13 General government","G0404  Mining, manufacturing, construction","D3K Subsidies","Ratio to GDP, %",0.1
"S13 General government","G0404  Mining, manufacturing, construction","D3K Subsidies","Per capita, EUR",28
"S13 General government","G0404  Mining, manufacturing, construction","D4K Property expenditure","Current prices",.
"S13 General government","G0404  Mining, manufacturing, construction","D4K Property expenditure","Ratio to GDP, %",.
"S13 General government","G0404  Mining, manufacturing, construction","D4K Property expenditure","Per capita, EUR",.
"S13 General government","G0404  Mining, manufacturing, construction","D4SK  Property expenditure, consolidated","Current prices",.
"S13 General government","G0404  Mining, manufacturing, construction","D4SK  Property expenditure, consolidated","Ratio to GDP, %",.
"S13 General government","G0404  Mining, manufacturing, construction","D4SK  Property expenditure, consolidated","Per capita, EUR",.
"S13 General government","G0404  Mining, manufacturing, construction","D5K Current taxes on income and wealth, etc., payable","Current prices",.
"S13 General government","G0404  Mining, manufacturing, construction","D5K Current taxes on income and wealth, etc., payable","Ratio to GDP, %",.
"S13 General government","G0404  Mining, manufacturing, construction","D5K Current taxes on income and wealth, etc., payable","Per capita, EUR",.
"S13 General government","G0404  Mining, manufacturing, construction","D62K Social benefits other than social transfers in kind, payable","Current prices",.
"S13 General government","G0404  Mining, manufacturing, construction","D62K Social benefits other than social transfers in kind, payable","Ratio to GDP, %",.
"S13 General government","G0404  Mining, manufacturing, construction","D62K Social benefits other than social transfers in kind, payable","Per capita, EUR",.
"S13 General government","G0404  Mining, manufacturing, construction","D632K Social transfers in kind - purchased market production","Current prices",.
"S13 General government","G0404  Mining, manufacturing, construction","D632K Social transfers in kind - purchased market production","Ratio to GDP, %",.
"S13 General government","G0404  Mining, manufacturing, construction","D632K Social transfers in kind - purchased market production","Per capita, EUR",.
"S13 General government","G0404  Mining, manufacturing, construction","D7K Other current transfers, payable","Current prices",1
"S13 General government","G0404  Mining, manufacturing, construction","D7K Other current transfers, payable","Ratio to GDP, %",0.0
"S13 General government","G0404  Mining, manufacturing, construction","D7K Other current transfers, payable","Per capita, EUR",0
"S13 General government","G0404  Mining, manufacturing, construction","D7SK Other current transfers, payable (consolidated)","Current prices",.
"S13 General government","G0404  Mining, manufacturing, construction","D7SK Other current transfers, payable (consolidated)","Ratio to GDP, %",.
"S13 General government","G0404  Mining, manufacturing, construction","D7SK Other current transfers, payable (consolidated)","Per capita, EUR",.
"S13 General government","G0404  Mining, manufacturing, construction","D9K Capital transfers, payable","Current prices",203
"S13 General government","G0404  Mining, manufacturing, construction","D9K Capital transfers, payable","Ratio to GDP, %",0.1
"S13 General government","G0404  Mining, manufacturing, construction","D9K Capital transfers, payable","Per capita, EUR",37
"S13 General government","G0404  Mining, manufacturing, construction","D9SK Capital transfers, payable (consolidated)","Current prices",203
"S13 General government","G0404  Mining, manufacturing, construction","D9SK Capital transfers, payable (consolidated)","Ratio to GDP, %",0.1
"S13 General government","G0404  Mining, manufacturing, construction","D9SK Capital transfers, payable (consolidated)","Per capita, EUR",37
"S13 General government","G0404  Mining, manufacturing, construction","P5K Gross capital formation","Current prices",1
"S13 General government","G0404  Mining, manufacturing, construction","P5K Gross capital formation","Ratio to GDP, %",0.0
"S13 General government","G0404  Mining, manufacturing, construction","P5K Gross capital formation","Per capita, EUR",0
"S13 General government","G0404  Mining, manufacturing, construction","P51K Gross fixed capital formation","Current prices",1
"S13 General government","G0404  Mining, manufacturing, construction","P51K Gross fixed capital formation","Ratio to GDP, %",0.0
"S13 General government","G0404  Mining, manufacturing, construction","P51K Gross fixed capital formation","Per capita, EUR",0
"S13 General government","G0404  Mining, manufacturing, construction","NPK Acquisitions less disposals of non-produced assets","Current prices",.
"S13 General government","G0404  Mining, manufacturing, construction","NPK Acquisitions less disposals of non-produced assets","Ratio to GDP, %",.
"S13 General government","G0404  Mining, manufacturing, construction","NPK Acquisitions less disposals of non-produced assets","Per capita, EUR",.
"S13 General government","G0404  Mining, manufacturing, construction","P3K Final consumption expenditure","Current prices",16
"S13 General government","G0404  Mining, manufacturing, construction","P3K Final consumption expenditure","Ratio to GDP, %",0.0
"S13 General government","G0404  Mining, manufacturing, construction","P3K Final consumption expenditure","Per capita, EUR",3
"S13 General government","G0404  Mining, manufacturing, construction","NETEXP Net expenditure","Current prices",361
"S13 General government","G0404  Mining, manufacturing, construction","NETEXP Net expenditure","Ratio to GDP, %",.
"S13 General government","G0404  Mining, manufacturing, construction","NETEXP Net expenditure","Per capita, EUR",.
"S13 General government","G0404  Mining, manufacturing, construction","NETEXPS Net expenditure, consolidated","Current prices",360
"S13 General government","G0404  Mining, manufacturing, construction","NETEXPS Net expenditure, consolidated","Ratio to GDP, %",0.2
"S13 General government","G0404  Mining, manufacturing, construction","NETEXPS Net expenditure, consolidated","Per capita, EUR",66
"S13 General government","G0404  Mining, manufacturing, construction","TOTEXP Total expenditure","Current prices",.
"S13 General government","G0404  Mining, manufacturing, construction","TOTEXP Total expenditure","Ratio to GDP, %",.
"S13 General government","G0404  Mining, manufacturing, construction","TOTEXP Total expenditure","Per capita, EUR",.
"S13 General government","G0404  Mining, manufacturing, construction","TOTEXPS Total expenditure, consolidated","Current prices",437
"S13 General government","G0404  Mining, manufacturing, construction","TOTEXPS Total expenditure, consolidated","Ratio to GDP, %",0.2
"S13 General government","G0404  Mining, manufacturing, construction","TOTEXPS Total expenditure, consolidated","Per capita, EUR",80
"S13 General government","G0405  Transport","D1K Compensation of employees","Current prices",324
"S13 General government","G0405  Transport","D1K Compensation of employees","Ratio to GDP, %",0.2
"S13 General government","G0405  Transport","D1K Compensation of employees","Per capita, EUR",59
"S13 General government","G0405  Transport","D11K Wages and salaries","Current prices",252
"S13 General government","G0405  Transport","D11K Wages and salaries","Ratio to GDP, %",0.1
"S13 General government","G0405  Transport","D11K Wages and salaries","Per capita, EUR",46
"S13 General government","G0405  Transport","D12K Employers' social contributions","Current prices",72
"S13 General government","G0405  Transport","D12K Employers' social contributions","Ratio to GDP, %",0.0
"S13 General government","G0405  Transport","D12K Employers' social contributions","Per capita, EUR",13
"S13 General government","G0405  Transport","P2K Intermediate consumption","Current prices",1945
"S13 General government","G0405  Transport","P2K Intermediate consumption","Ratio to GDP, %",0.9
"S13 General government","G0405  Transport","P2K Intermediate consumption","Per capita, EUR",355
"S13 General government","G0405  Transport","D29K Other taxes on production","Current prices",.
"S13 General government","G0405  Transport","D29K Other taxes on production","Ratio to GDP, %",.
"S13 General government","G0405  Transport","D29K Other taxes on production","Per capita, EUR",.
"S13 General government","G0405  Transport","D3K Subsidies","Current prices",561
"S13 General government","G0405  Transport","D3K Subsidies","Ratio to GDP, %",0.3
"S13 General government","G0405  Transport","D3K Subsidies","Per capita, EUR",102
"S13 General government","G0405  Transport","D4K Property expenditure","Current prices",2
"S13 General government","G0405  Transport","D4K Property expenditure","Ratio to GDP, %",0.0
"S13 General government","G0405  Transport","D4K Property expenditure","Per capita, EUR",0
"S13 General government","G0405  Transport","D4SK  Property expenditure, consolidated","Current prices",2
"S13 General government","G0405  Transport","D4SK  Property expenditure, consolidated","Ratio to GDP, %",0.0
"S13 General government","G0405  Transport","D4SK  Property expenditure, consolidated","Per capita, EUR",0
"S13 General government","G0405  Transport","D5K Current taxes on income and wealth, etc., payable","Current prices",6
"S13 General government","G0405  Transport","D5K Current taxes on income and wealth, etc., payable","Ratio to GDP, %",0.0
"S13 General government","G0405  Transport","D5K Current taxes on income and wealth, etc., payable","Per capita, EUR",1
"S13 General government","G0405  Transport","D62K Social benefits other than social transfers in kind, payable","Current prices",.
"S13 General government","G0405  Transport","D62K Social benefits other than social transfers in kind, payable","Ratio to GDP, %",.
"S13 General government","G0405  Transport","D62K Social benefits other than social transfers in kind, payable","Per capita, EUR",.
"S13 General government","G0405  Transport","D632K Social transfers in kind - purchased market production","Current prices",.
"S13 General government","G0405  Transport","D632K Social transfers in kind - purchased market production","Ratio to GDP, %",.
"S13 General government","G0405  Transport","D632K Social transfers in kind - purchased market production","Per capita, EUR",.
"S13 General government","G0405  Transport","D7K Other current transfers, payable","Current prices",75
"S13 General government","G0405  Transport","D7K Other current transfers, payable","Ratio to GDP, %",0.0
"S13 General government","G0405  Transport","D7K Other current transfers, payable","Per capita, EUR",14
"S13 General government","G0405  Transport","D7SK Other current transfers, payable (consolidated)","Current prices",45
"S13 General government","G0405  Transport","D7SK Other current transfers, payable (consolidated)","Ratio to GDP, %",0.0
"S13 General government","G0405  Transport","D7SK Other current transfers, payable (consolidated)","Per capita, EUR",8
"S13 General government","G0405  Transport","D9K Capital transfers, payable","Current prices",120
"S13 General government","G0405  Transport","D9K Capital transfers, payable","Ratio to GDP, %",0.1
"S13 General government","G0405  Transport","D9K Capital transfers, payable","Per capita, EUR",22
"S13 General government","G0405  Transport","D9SK Capital transfers, payable (consolidated)","Current prices",46
"S13 General government","G0405  Transport","D9SK Capital transfers, payable (consolidated)","Ratio to GDP, %",0.0
"S13 General government","G0405  Transport","D9SK Capital transfers, payable (consolidated)","Per capita, EUR",8
"S13 General government","G0405  Transport","P5K Gross capital formation","Current prices",2198
"S13 General government","G0405  Transport","P5K Gross capital formation","Ratio to GDP, %",1.0
"S13 General government","G0405  Transport","P5K Gross capital formation","Per capita, EUR",401
"S13 General government","G0405  Transport","P51K Gross fixed capital formation","Current prices",2198
"S13 General government","G0405  Transport","P51K Gross fixed capital formation","Ratio to GDP, %",1.0
"S13 General government","G0405  Transport","P51K Gross fixed capital formation","Per capita, EUR",401
"S13 General government","G0405  Transport","NPK Acquisitions less disposals of non-produced assets","Current prices",18
"S13 General government","G0405  Transport","NPK Acquisitions less disposals of non-produced assets","Ratio to GDP, %",0.0
"S13 General government","G0405  Transport","NPK Acquisitions less disposals of non-produced assets","Per capita, EUR",3
"S13 General government","G0405  Transport","P3K Final consumption expenditure","Current prices",3201
"S13 General government","G0405  Transport","P3K Final consumption expenditure","Ratio to GDP, %",1.5
"S13 General government","G0405  Transport","P3K Final consumption expenditure","Per capita, EUR",584
"S13 General government","G0405  Transport","NETEXP Net expenditure","Current prices",4428
"S13 General government","G0405  Transport","NETEXP Net expenditure","Ratio to GDP, %",.
"S13 General government","G0405  Transport","NETEXP Net expenditure","Per capita, EUR",.
"S13 General government","G0405  Transport","NETEXPS Net expenditure, consolidated","Current prices",4324
"S13 General government","G0405  Transport","NETEXPS Net expenditure, consolidated","Ratio to GDP, %",2.1
"S13 General government","G0405  Transport","NETEXPS Net expenditure, consolidated","Per capita, EUR",789
"S13 General government","G0405  Transport","TOTEXP Total expenditure","Current prices",.
"S13 General government","G0405  Transport","TOTEXP Total expenditure","Ratio to GDP, %",.
"S13 General government","G0405  Transport","TOTEXP Total expenditure","Per capita, EUR",.
"S13 General government","G0405  Transport","TOTEXPS Total expenditure, consolidated","Current prices",5145
"S13 General government","G0405  Transport","TOTEXPS Total expenditure, consolidated","Ratio to GDP, %",2.5
"S13 General government","G0405  Transport","TOTEXPS Total expenditure, consolidated","Per capita, EUR",939
"S13 General government","G0406  Communications","D1K Compensation of employees","Current prices",18
"S13 General government","G0406  Communications","D1K Compensation of employees","Ratio to GDP, %",0.0
"S13 General government","G0406  Communications","D1K Compensation of employees","Per capita, EUR",3
"S13 General government","G0406  Communications","D11K Wages and salaries","Current prices",15
"S13 General government","G0406  Communications","D11K Wages and salaries","Ratio to GDP, %",0.0
"S13 General government","G0406  Communications","D11K Wages and salaries","Per capita, EUR",3
"S13 General government","G0406  Communications","D12K Employers' social contributions","Current prices",3
"S13 General government","G0406  Communications","D12K Employers' social contributions","Ratio to GDP, %",0.0
"S13 General government","G0406  Communications","D12K Employers' social contributions","Per capita, EUR",1
"S13 General government","G0406  Communications","P2K Intermediate consumption","Current prices",11
"S13 General government","G0406  Communications","P2K Intermediate consumption","Ratio to GDP, %",0.0
"S13 General government","G0406  Communications","P2K Intermediate consumption","Per capita, EUR",2
"S13 General government","G0406  Communications","D29K Other taxes on production","Current prices",.
"S13 General government","G0406  Communications","D29K Other taxes on production","Ratio to GDP, %",.
"S13 General government","G0406  Communications","D29K Other taxes on production","Per capita, EUR",.
"S13 General government","G0406  Communications","D3K Subsidies","Current prices",.
"S13 General government","G0406  Communications","D3K Subsidies","Ratio to GDP, %",.
"S13 General government","G0406  Communications","D3K Subsidies","Per capita, EUR",.
"S13 General government","G0406  Communications","D4K Property expenditure","Current prices",.
"S13 General government","G0406  Communications","D4K Property expenditure","Ratio to GDP, %",.
